Model year,Make,Model,Vehicle class,Motor (kW),Engine size (L),Cylinders,Transmission,Fuel type 1,Combined Le/100 km,Range 1 (km),Recharge time (h),Fuel type 2,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Range 2 (km),CO2 emissions (g/km),CO2 rating,Smog rating
2016-01-01,BMW,330e,Compact,65,2,4,AS8,B/Z*,3.3 ([29.1 kWh + 0.0 L]/100 km),23,2,Z,8,6,7,562,113,10,
2016-01-01,BMW,i3 REx,Subcompact,125,0,2,A1,B,2.0 (17.9 kWh/100 km),116,4,Z,5,6,6,119,22,10,
2016-01-01,BMW,i8,Subcompact,96,1,3,A6,B/Z,3.1 ([26.9 kWh + 0.2 L]/100 km),24,2,Z,8,8,8,509,123,9,
2016-01-01,BMW,X5 xDrive40e,Sport utility vehicle: Standard,83,2,4,AS8,B/Z*,4.2 ([36.8 kWh + 0.0 L]/100 km),23,3,Z,10,9,9,842,153,8,
2016-01-01,Cadillac,ELR,Subcompact,174,1,4,AV,B,2.7 (24.4 kWh/100 km),64,5,Z,7,7,7,480,57,10,
2016-01-01,Cadillac,ELR (Performance Pkg),Subcompact,174,1,4,AV,B,2.9 (26.2 kWh/100 km),58,5,Z,8,7,7,457,65,10,
2016-01-01,Chevrolet,Volt,Compact,111,1,4,AV,B,2.2 (19.9 kWh/100 km),85,4,X,5,5,5,591,32,10,
2016-01-01,Ford,C-MAX Energi,Mid-size,35,2,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2,X,5,6,6,856,80,10,
2016-01-01,Ford,Fusion Energi,Mid-size,35,2,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2,X,5,6,6,856,80,10,
2016-01-01,Hyundai,Sonata Plug-in Hybrid,Mid-size,50,2,4,AM6,B/X*,2.4 ([21.1 kWh + 0.0 L]/100 km),43,2,X,6,5,5,925,63,10,
2016-01-01,Mercedes-Benz,S 550e,Full-size,85,3,6,AS7,B/Z*,4.1 ([36.7 kWh + 0.0 L]/100 km),23,2,Z,10,7,9,695,141,9,
2016-01-01,Porsche,Cayenne S E-Hybrid,Sport utility vehicle: Standard,71,3,6,A8,B,5.0 (43.2 kWh/100 km),24,3,Z,11,9,10,758,162,8,
